AICTE ID,NAME,PROGRAMME,UNIVERSITY,LEVEL OF COURSE,COURSE,INTAKE,ADDRESS,ZONE,CITY,DISTRICT,STATE,INSTITUTE TYPE,,
1-36459425156,SRI Y. N. COLLEGE,MANAGEMENT,"ADIKAVI NANNAYA UNIVERSITY, RAJAHMUNDRY",POST GRADUATE,MBA,120,SRI Y.N.COLLEGE COLLEGE STREET NARSAPUR - 534275 WEST GODAVARI DISTRICT ANDHRA PRADESH,COASTAL ANDHRA,NARSAPUR,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36952012323,BHARATH COLLEGE OF ENGINEERING AND TECHNOLOGY FOR WOMEN,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,54,"BUGGALATIPALLI,C.K.DINNA MANDAL,RAYACHOTY ROAD,KADAPA,ANDHRA PRADESH,INDIA",RAYALASEEMA,KADAPA,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36461202514,ALWAR SCHOOL OF BUSINESS AND COMPUTERS,MANAGEMENT,NOT APPLICABLE,POST GRADUATE DIPLOMA,PGDM,180,"HIMACHAL NAGAR, MULAGADA, GAJUWAKA, VISAKHAPATNAM - 530026",COASTAL ANDHRA,GAJUWAKA,VISHAKHAPATNAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36952072981,SRI SAI INSTITUTE OF TECHNOLOGY AND SCIENCE,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,120,"2/714-18, GOLLAPALLI (V) RAYACHOTI- 516 270",RAYALASEEMA,GOLLAPALLI,YSR DISTRICT,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36461246981,P.V.K.K. INSTITUTE OF TECHNOLOGY,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, ANANTAPUR",POST GRADUATE,MBA,180,"RUDRAMPETA, SANAPA ROAD,ANANTAPUR,A P.",RAYALASEEMA,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36943696670,ELURU COLLEGE OF ENGINEERING & TECHNOLOGY,MANAGEMENT,"DR.B.R.AMBEDKAR UNIVERSITY,SRIKAKULAM",POST GRADUATE,MBA,60,"DUGGIRALA (V), PEDAVEGI(M), WEST GODAVARI DISTRICT",COASTAL,PEDAVEGI,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36461389279,KBN COLLEGE PG CENTER,MANAGEMENT,"KRISHNA UNIVERSITY , MACHLLIPATANAM",POST GRADUATE,MBA,120,KOTHAPET VIJAYAWADA KRISHNA-520001,COASTAL ANDHRA,VIJAYAWADA,KRISHNA,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36945311532,GAYATRI COLLEGE FOR PG COURSES,MANAGEMENT,"ACHARYA NAGARJUNA UNIVERSITY, GUNTUR",POST GRADUATE,MBA,120,MUNASABPETA SRIKAKULAM - 532401 ANDHRA PRADESH,COASTAL,SRIKAKULAM,SRIKAKULAM,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36462185978,RAMACHANDRA COLLEGE OF ENGINEERING,MANAGEMENT,"JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY, KAKINADA",POST GRADUATE,MBA,120,"NH-5 BYPASS ROAD, VATLURU (V), ELURU-534007, WEST GODAVARI DT., ANDHRA PRADESH.",COASTAL ANDHRA,ELURU,WEST GODAVARI,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
1-36938953221,SIDDARTHA EDUCATIONAL ACADEMY GROUP OF INSTITUTIONS,MANAGEMENT,"ANDHRA UNIVERSITY, VISAKHAPATNAM",POST GRADUATE,MBA,60,"CHINTAGUNTA VILLAGE, NEAR C. GOLLAPALLI, TIRUPATI (RURAL) - 517 505 CHITTOOR DIST A.P.",RAYALASEEMA,TIRUPATI,CHITTOOR,ANDHRA PRADESH,PRIVATE-SELF FINANCING,,
